,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,busselton,au,-66.0778086242278,88.29085303770341,62.98,100,44,9.64
1,makinsk,kz,52.35634669754026,69.97505475162035,24.1,85,0,14.67
2,ankazoabo,mg,-21.543342561304982,42.959799125976616,87.37,34,8,9.53
3,yellowknife,ca,83.59756725284262,-109.24102222814312,-14.81,75,90,3.36
4,zykovo,ru,55.723040060524795,93.30733751997951,24.64,89,92,16.35
5,severo-kurilsk,ru,50.53425398779555,156.55521202331704,23.56,100,32,8.08
6,sentyabrskiy,ru,26.78039996288325,163.3493963874967,No Data from API,No Data from API,No Data from API,No Data from API
7,victoria,sc,-1.7688453609739554,50.173950486403726,86,70,0,5.82
8,arraial do cabo,br,-42.04155812208577,-20.896136882441112,86.88,79,0,17.22
9,yerbogachen,ru,64.22207861584405,106.9288718865584,11.73,73,0,4.61
10,cherskiy,ru,70.56874074129036,162.91188982948034,-15.95,47,12,2.71
11,lensk,ru,59.86106586785132,116.03541196640379,16.27,65,76,4.38
12,severnyy,ru,70.46031900807534,64.4999259365577,No Data from API,No Data from API,No Data from API,No Data from API
13,ushuaia,ar,-72.98322032073332,-32.35345666987587,43.83,60,75,13.87
14,rikitea,pf,-49.621417885294065,-119.48907979098963,79.41,100,76,13.44
15,bredasdorp,za,-71.70896487048344,20.387264523818004,80.6,42,24,9.17
16,saskylakh,ru,73.50982706466638,113.47160333714356,-24.55,36,0,5.61
17,ribeira grande,pt,31.122982780882808,-44.37286726190578,66.2,82,20,17.22
18,vaini,to,-66.78757725604501,-179.28609625318165,77,78,20,3.36
19,iquitos,pe,-2.6826949730021283,-74.48374203759252,77,83,75,5.82
20,port pirie,au,-33.59392955137774,137.95908966021472,69.8,26,0,9.17
21,nuqui,co,5.431379161410277,-77.85742754829023,78.06,96,76,2.71
22,voyvozh,ru,62.67322961157737,54.56226628769164,0.21,73,0,3.94
23,kapaa,us,35.98093233524396,-161.38219523199595,63.39,88,1,8.05
24,kavaratti,in,11.024589073182426,72.0044245471949,83.32,100,0,4.38
25,rawson,ar,-51.146710803684044,-59.04251169290016,65.1,38,92,3.94
26,bluff,nz,-76.20562018664756,156.15991916325277,58.71,98,92,30.11
27,broken hill,au,-29.066463503794132,144.84498757228607,52.36,56,0,6.17
28,alofi,nu,-17.17478950840963,-168.85932102384237,73.4,100,75,1.12
30,kyabram,au,-36.7626515088945,145.09986873753076,56.1,71,44,8.75
31,mahebourg,mu,-44.22633575583208,78.92933574676601,82.4,69,75,3.36
32,tiksi,ru,69.83440143476963,129.38632171734582,-12.31,58,0,12.1
33,sorvag,fo,63.43968885046999,-10.443380455204363,No Data from API,No Data from API,No Data from API,No Data from API
34,te anau,nz,-40.833265642225754,165.1420229761386,50.16,92,80,10.31
35,new norfolk,au,-58.039314372168846,134.63908077308884,57.2,67,90,8.05
36,faanui,pf,-3.7251787561443876,-156.973416992787,81.07,100,68,16.46
39,jiuquan,cn,40.03079866341483,99.6435523910298,36.93,63,8,4.38
40,touros,br,0.4837083065869052,-34.27808506129756,82.65,93,32,9.75
41,alyangula,au,-14.543223527875753,135.77064005939235,83.55,100,44,5.28
42,ahipara,nz,-34.51645322784855,165.51788102847286,61.5,100,80,6.96
43,albany,au,-64.6533963165938,103.77463813254968,56.46,87,0,9.19
44,puerto escondido,mx,6.853156085668303,-99.1126069441295,81.75,100,0,4.61
45,taolanaro,mg,-87.21221300675676,62.857383196752124,No Data from API,No Data from API,No Data from API,No Data from API
46,ilebo,cd,-3.348484560033782,20.608756567758547,85.98,67,20,3.6
47,cidreira,br,-57.36144517605029,-22.095016801379558,70.99,100,80,13.22
48,castro,cl,-42.870877694066444,-88.5701003205877,54.48,99,92,7.18
49,alta gracia,ar,-32.18153048190142,-65.37583925612158,71.6,33,0,13.87
50,airai,pw,9.41483231768268,141.01346196374567,No Data from API,No Data from API,No Data from API,No Data from API
51,punta arenas,cl,-86.40368412997174,-93.82105843139202,45.43,52,75,17.22
52,vredendal,za,-32.14439355531918,18.454144558015315,78.51,32,8,5.17
53,rairangpur,in,22.219183234859443,86.21881048042417,72.3,67,0,1.92
54,kavieng,pg,7.462521263524749,156.20900864171017,80.85,100,56,8.63
55,carutapera,br,6.886376797611305,-42.25494727066649,84.94,88,32,5.06
56,hilo,us,3.8923247810082415,-153.22084783079586,68,82,1,5.82
57,tacna,pe,-18.040491861351967,-70.47416845497862,70.18,82,90,2.24
58,avarua,ck,-51.67543348534033,-164.9311156356828,75.2,94,90,9.17
59,anadyr,ru,65.96292277940947,177.13813846797547,-5.81,70,0,6.71
